what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242383231171
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242383318093
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1242383325453
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1242383328078
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242383341187
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242383398046
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1242383407859
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1242383420859
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242383425296
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242383441796
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1242383446312
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1242383446562
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1242383448390
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242383460890
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242383541046
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242383551859
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242383608468
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242383609734
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242383822625
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1242383831281
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242383837984
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242383846156
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242383847531
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242383850609
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242383851671
