what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242381084000
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242381092812
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242381112562
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242381123312
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242381126000
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242381259703
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242381275421
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242381284656
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1242381296984
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1242381302125
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242381303156
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242381323796
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1242381340046
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242381342468
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242381359234
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242381359703
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242381431062
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1242381433281
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1242381433437
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1242381433593
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1242381433781
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1242381433984
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1242381443609
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242381445109
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242381618968
