what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1242385016625
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1242385019171
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242385020875
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242385039312
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1242385047031
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242385056125
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242385173828
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1242385186781
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242385191000
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242385249906
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1242385253390
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1242385255640
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242385260187
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242385298656
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1242385300671
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineStart,1242385302875
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1242385308234
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1242385314140
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1242385316296
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242385318500
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242385386453
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242385388937
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242385843640
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242385843640
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242385843968
