what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1242381621656
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242381626203
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242381755328
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242381755796
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242381758546
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242381817015
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242381978875
started,bundle,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search,1242381991484
opened,view,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search.ui.views.SearchView,1242381991718
activated,view,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search.ui.views.SearchView,1242381991765
executed,command,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search.ui.performTextSearchWorkspace,1242381992109
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242381992515
started,bundle,org.eclipse.wst.sse.core,1.1.303.v200901290024,org.eclipse.wst.sse.core,1242381993000
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242381998296
activated,editor,org.eclipse.dltk.ruby.ui,1.0.0.v20081208-2006,org.eclipse.dltk.ruby.ui.editor.RubyEditor,1242382002343
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1242382009265
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242382015375
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242382121015
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242382122578
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242382124062
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242382124250
stopped,bundle,org.eclipse.dltk.mylyn,1.0.0.v20080917-1720,org.eclipse.dltk.mylyn,1242382124578
stopped,bundle,org.eclipse.dltk.ruby.testing,1.0.0.v20081111,org.eclipse.dltk.ruby.testing,1242382124625
stopped,bundle,org.eclipse.dltk.ruby.debug.ui,1.0.0.v20081114,org.eclipse.dltk.ruby.debug.ui,1242382124625
stopped,bundle,org.eclipse.dltk.ruby.formatter,1.0.0.v20081101,org.eclipse.dltk.ruby.formatter,1242382124625
